company,company_code,plant_name,plant_in_table
ДТЕК Дніпроенерго,130872,Придніпровська ТЕС, Придніпровська ТЕС
ПАТ «ДОНБАСЕНЕРГО»,23343582,Слов’янська ТЕС," Слов""янська ТЕС"
ПАТ «Центренерго»,22927045,Трипільська ТЕС, Трипільська ТЕС
ПАТ «Центренерго»,22927045,Зміївська ТЕС, Зміївська ТЕС
ДТЕК Східенерго,31831942,Луганська ТЕС, Луганська ТЕС
ДТЕК Дніпроенерго,130872,Криворізька ТЕС, Криворізька ТЕС
ДТЕК Дніпроенерго,130872,Запорізька ТЕС, Запорізька ТЕС
ДТЕК Західенерго,23269555,Бурштинська ТЕС, Бурштинська ТЕС
ДТЕК Західенерго,23269555,Добротвірська ТЕС, Добротвірська ТЕС
ДТЕК Західенерго,23269555,Ладижинська ТЕС, Ладижинська ТЕС
ПАТ «Центренерго»,22927045,Вуглегірська ТЕС, Вуглегірська ТЕС
ДТЕК Східенерго,31831942,Курахівська ТЕС, Курахівська ТЕС
Чернігівська міська рада,34339125,Чернігівська ТЕЦ, Чернігівська ТЕЦ
ТОВ «Євро–Реконструкція»,37739041,Дарницька ТЕЦ,
ДТЕК Донецькі Електромережі,131268,Миронівська ТЕС, Миронівська ТЕC
"ТОВ ""КРАМАТОРСЬКТЕПЛОЕНЕРГО""",34657789,Краматорська ТЕЦ, Краматорська ТЕЦ
ДВ «Нафтогазовидобувна компанія»,34181461,ТЕЦ-2 (Есхар),Нафтогазовид.Комп.(ЕСХАР)
ПАТ «Черкаське хімволокно»,204033,Черкаська ТЕЦ, Черкаська ТЕЦ
«УкрІнтерЕнерго»,19480600,Калуська ТЕЦ, Калуська ТЕЦ
"ПАТ ""ДОНБАСЕНЕРГО""",23343582,Старобешівська ТЕС,
ПАТ «Київенерго»,131305,Київська ТЕЦ-5, Київська ТЕЦ-5
ПАТ «Київенерго»,131305,Київська ТЕЦ-6, Київська ТЕЦ-6
"АТ ""ДНІПРОВСЬКА ТЕЦ""",130820,Дніпровська ТЕЦ, Дніпродзержин. ТЕЦ
"ТОВ ""Сумитеплоенерго""",33698892,Сумська ТЕЦ, Сумська ТЕЦ
"ПАТ ""Полтаваобленерго""",131819,Кременчуцька ТЕЦ, Кременчуцька ТЕЦ
"ПАТ ""Криворізька теплоцентраль""",130850,Криворізька ТЦ, Криворізька ТЦ
"ПРАТ ""МИКОЛАЇВСЬКА ТЕЦ""",30083966,Миколаївська ТЕЦ, Миколаївська ТЕЦ
"ПАТ ""ОДЕСЬКА ТЕЦ""",5471158,Одеська ТЕЦ, Одеська ТЕЦ
"ТОВ ""БРОКЕНЕРГІЯ""",40050036,Охтирська ТЕЦ, Охтирська ТЕЦ
ДП  «Сєвєродонецька  ТЕЦ»,131050,Сєвєродонецька ТЕЦ,
NA,NA,Уманський ТК, Уманський ТК
"ПрАт ""Харківська ТЕЦ-5""",5471230,Харківська ТЕЦ-5, Харківська ТЕЦ-5
"АТ ""ХЕРСОНСЬКА ТЕЦ""",131771,Херсонська ТЕЦ, Херсонська ТЕЦ
"ПрАТ ""Білоцерківська ТЕЦ""",30664834,Білоцерківська ТЕЦ,Білоцерківська ТЕЦ
NA,NA,Енергія и газ України Лукойл,Енергія и газ України Лукойл
"ТОВ ""Енергія-Новий Розділ""",33525073,Новороздільська ТЕЦ,Енергія Новий Розділ
"ТОВ НВП ""Енергія-Новоярівськ""",32789941,Новояворівська ТЕЦ,Енергія Новояворів.
NA,NA,Зуївська ТЕЦ,Зуївська ТЕЦ
NA,NA,"КП""Теплоенергетик"" Кіровогр.",none
ЛМКП «Львівтеплоенерго»,5506460,Львівська ТЕЦ Львівтеплоен.,none
NA,NA,NA,none
"КП ""ХАРКІВСЬКІ ТЕПЛОВІ МЕРЕЖІ""",31557119,Харківська ТЕЦ-3,none
NA,NA,Шосткінська ТЕЦ,none
